date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:08	37163/37163	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2003:04:06%20GMT	https://www.sordum.org/downloads/?st-folder-painter	C:/My%20Web%20Sites/sordum/www.sordum.org/downloads/indexd0ec.html	(from https://www.sordum.org/10124/folder-painter-v1-2/)
10:04:08	7186/7186	---M--	200	added ('OK')	image/png	etag:%224322b4e-1c12-5791fda3e0d00%22	https://www.sordum.org/wp-content/uploads/2018/10/win10_settings_blocker-60x57.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2018/10/win10_settings_blocker-60x57.png	(from https://www.sordum.org/10124/folder-painter-v1-2/)
10:04:08	7242/7242	---M--	200	added ('OK')	image/jpeg	etag:%22430251d-1c4a-5235680a4d900%22	https://www.sordum.org/wp-content/uploads/2015/10/dns_jumper_v20.jpg	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2015/10/dns_jumper_v20.jpg	(from https://www.sordum.org/10124/folder-painter-v1-2/)
10:04:08	0/-1	---M--	301	error ('')			https://www.sordum.org/xmlrpc.php	C:/My%20Web%20Sites/sordum/www.sordum.org/xmlrpc.d8.delayed	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:08	0/-1	---M--	301	error ('')			https://www.sordum.org/xmlrpc.php?rsd	C:/My%20Web%20Sites/sordum/www.sordum.org/xmlrpc.d90db0.delayed	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:09	7557/7557	---MCZ	200	added ('OK')	application/rss+xml	etag:%227342bc6b200bb2be071ce0b58396a06a%22	https://www.sordum.org/9432/dns-lock-v1-4/feed/	C:/My%20Web%20Sites/sordum/www.sordum.org/9432/dns-lock-v1-4/feed/index.html	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:09	72837/72837	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2003:04:07%20GMT	https://www.sordum.org/10124/folder-painter-v1-2/comment-page-2/	C:/My%20Web%20Sites/sordum/www.sordum.org/10124/folder-painter-v1-2/comment-page-2/index.html	(from https://www.sordum.org/10124/folder-painter-v1-2/)
10:04:10	71887/71887	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202019%2003:04:07%20GMT	https://www.sordum.org/10124/folder-painter-v1-2/comment-page-1/	C:/My%20Web%20Sites/sordum/www.sordum.org/10124/folder-painter-v1-2/comment-page-1/index.html	(from https://www.sordum.org/10124/folder-painter-v1-2/)
10:04:10	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Jun%202019%2003:04:08%20GMT	https://www.sordum.org/?p=9432	C:/My%20Web%20Sites/sordum/www.sordum.org/index1827.html	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:10	2377/2377	---MCZ	200	added ('OK')	application/json	date:Tue,%2011%20Jun%202019%2003:04:08%20GMT	https://www.sordum.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sordum.org%2F9432%2Fdns-lock-v1-4%2F	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-json/oembed/1.0/embedc713.json	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:11	2510/2510	---MCZ	200	added ('OK')	text/xml	date:Tue,%2011%20Jun%202019%2003:04:09%20GMT	https://www.sordum.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sordum.org%2F9432%2Fdns-lock-v1-4%2F&format=xml	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-json/oembed/1.0/embedd0cb	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:11	10119/10119	---M--	200	added ('OK')	image/png	etag:%224341759-2787-581ff559f0705%22	https://www.sordum.org/wp-content/uploads/2016/10/dns_lock_main-1.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2016/10/dns_lock_main-1.png	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:12	20079/20079	---M--	200	added ('OK')	image/png	etag:%224341750-4e6f-581ff559bf5e0%22	https://www.sordum.org/wp-content/uploads/2016/10/dns_lock_ipv4_changed.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2016/10/dns_lock_ipv4_changed.png	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:12	12224/12224	---M--	200	added ('OK')	image/png	etag:%224341761-2fc0-581ff5596547e%22	https://www.sordum.org/wp-content/uploads/2016/10/dns_lock_ipv4_6_changed.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2016/10/dns_lock_ipv4_6_changed.png	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:12	7184/7184	---M--	200	added ('OK')	image/png	etag:%2243455c9-1c10-581ff80076505%22	https://www.sordum.org/wp-content/uploads/2016/10/dns_lock_commandline_parameters.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2016/10/dns_lock_commandline_parameters.png	(from https://www.sordum.org/9432/dns-lock-v1-4/)
10:04:14	3375/3375	---M--	200	added ('OK')	image/png	etag:%224322c70-d2f-528b33fab4800%22	https://www.sordum.org/wp-content/uploads/2013/04/bpuzzle1-60x57.png	C:/My%20Web%20Sites/sordum/www.sordum.org/wp-content/uploads/2013/04/bpuzzle1-60x57.png	(from https://www.sordum.org/9432/dns-lock-v1-4/)
